Nom,Dimension,auc_mean,auc_std
Unsupervised,2,0.243092642229571,0.02176641140776819
Unsupervised,3,0.22698768833310945,0.017400607390548196
Unsupervised,5,0.21440682411128026,0.017152554420556645
Unsupervised,10,0.17850086712424207,0.018806712759293603
Unsupervised,15,0.17017300340220223,0.010065750808988293
Unsupervised,20,0.16284465518137858,0.008916849085362579
supervised,2,0.6998281990791893,0.005512442479641722
supervised,3,0.6898413769112288,0.015183806454309466
supervised,5,0.6875878506890901,0.006386186987325963
supervised,10,0.6830983527322908,0.0041499499373390675
